Text,Sentiment
mil gya hai acha hai aur toota howa b nai hai,0
aram sy pocket may aa jta hai aur quality b achi hai,0
sb sy achi chez apki customer service bhot achi hai aur products b orignal hai,0
back cover acha hai sai cuts hai aur soft b hai kaafi acha hai lakin protector chota hai size may khaas tor b width may lakin touch sai kaam kar rha hai isi hi tarha sensor b sb kuch thek hai aur combination b acha hai,0
shru may may thumb grip k khalif thi kyu k extra chezy add kar deti thi lakin jb sy meri stock controller ki rubber wire kharab hona churu hoei may ny inn grips ko khared aur may bhot kush ho in pair ko istemail kar k in ko istemaal karna bhot asan hai aur mujhy lagta h inn ko istemaal kar k may acha game khelny wala ban gya ho inn ki quality inn ko acha banati hai aur asan h istemaal may,1
may ny ya lya kyu k ya madad karti h acha karni may jb game khelo race wali may ny new nfs ki game liii hai tu meri dost ny bola k tm ya khareed lo iss sy achi tarha game khel lo gi tu phr may ny ya in ka  ka pack liay lya ya sirf teezi k lya kaam nai aati balky iss sy dono players ka fyda b hota hai,0
mein neh shuru mein yeh haasil karne ki zahmat nahi ki thi lekin ab jab ke mere ps kntrolrz aik bohat barri satah par farsodah ho rahay hain mujhe  kaam se kaam ke liye hungami mansoobah talaash karne ki zaroorat hai aur yeh angothay ki girift aik game set hain mere liye match,0
iss ka pura packge jis may naya chipset hai aur iss ki keemat b bhot kaam hai baki phone may sy jsy k samsung  etc,1
bohat mehanga kya hai mein iss price brikt mein simsng s ya s kyun nahi khareedon ga daraz nay phone ki qeemat bohat onche kar di hai aur iss se yeh darmiyanay faaslay wala phone nahi bantaa hai iss qeemat mein simsng tamam behtar khususiyaat ke sath behtar hai bekar farokht,1
yeh duniya mein har jagah  hai koi kharidari karne se pehlay iss haqeeqat ko jaan len,0
iss may iss ki cable nai h aur iss k speaker b sai kaam nai karti,1
theek hai mein un head  tamirati miyaar sooti miyaar battery ke waqt se mutmaen hon qeemat ke liye sab kuch achh is hai yeh bohat umdah nazar atay hain aur kaam bhi karwa letay hain iss liye mujhe koi baat nahi hai iss ke sath mamlaat,0
un head phone ke baarey mein mera tajurbah bohat acha raha hai mujhe yeh itna pasand aya hai ke mein nai un mein se  ko order diya hai yeh guzashta  mah se istemaal kar raha hon aur un ke miyaar ke sath kisi maslay ka saamna nahi karna para awaz aur taamer ka miyaar kaafi acha hai aur battery taqreeban   ghantay jari rehti hai,0
jaizay dekhnay ke baad khareeda gaya lekin mujhe imandaar bitayen badter head phone awaz ka miyaar bohat kaam hai taamer bhi aam hai usay nahi khareedain kuch paisay shaamil karen aur kuch acha khareedain,0
iss mein koi ox kibl shaamil nahi hai mein ny aik aks kibl khareedi hai aur usay apne laip taap se marboot kar di hai mein sirf head phone ke baen taraf se audio sun sakta hon durust numera,0
ya chez wkt p aa gai thi aur kaam b sai kar rhi hai,2
in k headphone ziyda buri nai hai lakin may kaho ka k inn ko na khareedo,1
may koi acha phone nai jaanta market may ya pura packge hai style ka money ka,0
may ny order kya tha mi a in golden aur unho ny rose gole bejha hai mujhy,2
portrait mode bhot acha iss phone k camera may baki sb b acha hai sb sy ziyda google update achi hai,0
bhot hi acha phone hai ya speed b achi hi aur language ka masla b nai h,0
achi timing hai sirf  dino may agya hai,2
sirf thori se price ziyda hai agar international market k mukabaly dekha jya tu,0
audio achi hai base k sath,0
shukriya achi quality k lya mujhy pasnd hai iss ki audio,0
shukriya achi quality k lya aur iss ki audio b achi hai,0
iss ki quality achi hai aur baki sb b acha hai,0
sb sy acha product achi price may iss k earphone b achi hai zaroor liay aap b shukriya daraz,0
base achi hai baki sari chzey b achi hai   iss k lya price b kaam hai,0
audio ki quality achi hai aur baki sb chezy b balance hai,0
achi mobile hai lakin iss ki koi warenty nai hai,0
may ny iphone lya us p straches hai aur box b sai sy band nai hai,1
iss k batter ie k issues hai aur customer service center sy b koi acha response nai aa rha,0
vaqata aik behtareen phone karkardagi aur istehkaam ke hawale se yeh iss qeemat mein bay misaal hai taham yeh phone thora sa bhaari aur bara hai mazeed yeh ke phone ke sath faraham kardah  ka shafaaf cover bhi thora sa dheel hai,0
battery timing aur mobile bhot acha kaam kar rha hai hai,0
sb sy acha phone hai agar aap sy ko huwai k sath compare kry tu,2
mein nai phone bazyaft kya aur mein nai dekha ke iss khanaay mein dosra haath huawei ie  tha aur daraz bhi iss ki jagah nahi le rahay hain woh keh rahay hain ke yeh un ka phone nahi hai,1
sb sy acha product hai sirf  din may mil gya hai price b kaafi kaam hai,2
plz mujhy bta di k ya single ya dual sim wala hai,2
sb sy achi deal hai may bhot kush ho istemail kar k,0
yeh vaqata aik acha tajurbah tha mein jaldi tarseel aur zabardast  ke liye daraz ki tareef karta hon sale  saal warranty card ke sath mukammal tor par original hai tajdeed shuda nahi shukriya daraz aur dealer,0
bhot acho deal h  din may hi phone mil gya hai,2
usay  din baad mil gaya warranty card bhi shaamil hai asli simsng mohar ke sath chairr chhar ki gayi thi lekin aik aur mohar barqarar thi majmoi tor par acha tajurbah ab tak koi masla nahi hai aik shafaaf cover bhi shaamil hai,2
may ny socha nai tha k  din may phone aa jya ga bhot acha tha pura box band tha bhot achi daraz,0
shukriya daraz apka product  orignal tha,0
order  din mein haasil karliya lekin mein mobile ki mohar ke baray mein qadray mutfiq hon kyunkay wahan du aam and pi sale mojood thay jin mein se aik pehlay hi khuli thi aur un dono muhroon ke neechay simsng neh aik aur mohar laga di thi ke agar mohar toot gaya hai tu yeh baat qubool nahi karti hai aur yeh toot gaya hai baichnay walay ko yeh bhi zikar karna chahiye ke woh kun sa model farokht kar rahay hain jis mein s aam  f dd s hai,1
yeh har aik ke liye aisa zabardast tool hai jo mustaqil tor par chal raha hai mein mutadid aliktranks le kar aata hon aur jab zaroorat ho tu sakt mein un sab ko plug karna asan hota hai aur yahan kahan hai yeh asan ho jata hai,0
quality sab kuch hai aur mujhe khushi hai ke aam aayi ka power bank khud se charge rakhnay mein aur mere phone par bhi bohat aaccha kaam kar raha hai  aam ai each ke l it yeh vaqata good aaccha hai mere phone par du baar charge karta hai aur iss ki minofikchrng ka miyaar bhi bohat aaccha hai,0
glass muhafiz aur naram case back  dono waqai achi terhan se tayyar hain aur jab se mein ne box khoola mein ne jo kuch pohanchaya iss se mutmaen hogaya bilkul tayyar bohat mazboot aur mein usay yakeeni tor par qabil aetmaad kahoon ga kyunkay yeh ab taq kaam kar raha hai aur yahan taq ke sab se ziyada garam dinon mein glass bhi nahi phataa hai,0
bhot bura phone hai iss ki battery sai hai lakin screen tooti hoei hai aur touch b sai kaam nai kar rha,1
ya kaafi faydy mad h mry lya kaafi achi device hai,0
bhot aala headphne hai quality b avhi hai aur  ghanty ki battery timing b hai,0
barah karam mein sanjeeda hon yeh nah khareedain un mein ziyada se ziyada imkaan hai ke woh aap ko is p ke bajaye ghalat numeral den ge jo head phone mujhe mila hai usay astodyo s kaha jata hai aur iss mein aks kibl bhi nahi tha iss ka jhoot,1
waqai mein bohat aaccha hai aur mujhe yeh pasand hai kyunkay mujhe iss par moseeqi suneney se lutaf aata hai head phone ka miyaar bhi aaccha hai aur mein usay pehantay hue hamwar mehsoos karta hon kisi terhan ki jalan ka sabab nahi bantaa hai mein neelay rang ki terhan bhi karta hon yeh aasani se mere phone ke sath munsalik hota hai aur mein ganoon ko aasani se tabdeel karsaktha hon aur mutlaq sahoolat ke sath hajam ko tabdeel ya mourr sakta hon mein chahta tha ke battery ka waqt ziyada behtar hota lekin mein ab bhi kharidari se mutmaen hon,0
mujhy iss ki cable nai mili iss k daby may,1
yeh head phone apni qeemat ke mustahiq hain mein ne d film dekhnay ke liye apne ail  dd ke sath sirf aik baar iss ka istemaal kya hai aur mera tajurbah herat angaiz tha awaz ke miyaar aur kaan ke ird gird aram da aur pursukoon fitting se mohabbat karta tha iss ke ilawa iss ka  range bohat aaccha hai kyunkay mein apni ail  dd se bohat daur tha aur phir bhi iss mein koi mudakhlat nahi mili mawaad bhi aaccha hai majmoi tor par yeh aisi behtareen cheez hai jo aap ki qeemat ki hadd mein hosakti ha,1
yeh lajawab hain yeh herat angaiz tor par qabil samaat hain aur khushgawar jamaliaat hain woh pahannay mein bohat aram da hain mere phone ke  ke sath jaldi se mutabqat pazeer aur un head phone ke baray mein sab se umdah baat yeh hai ke woh kisi bhi taar ke sath nahi atay hain jo werzish ya chalanay ke douran aap ke pasandeeda music se lutaf andoz hotay hue aap ko ulajhti hai ya pareshan karti hai iss se meri jim mein pareshani se pak music se lutaf andoz honay ki zaroriat poori hojati hain mein neh moseeqi ki mukhtalif snfon ko aazmaaya hai aur mein moseeqi ki har tafseel se lutaf andoz aur mehsoos karne ke qabil tha,0
dosray ke baarey mein nahi jantay lekin meri pi  ki battery  hafton ke baad faut hogayi agar mein iss se charge karta hon tu head phone bohat garam hojata hai jaisay yeh phatne wala hai aur mujhe nahi maloom ke mein iss ki jagah le sakta hon ya nahi lehaza jawab den,0
may bhot kush ho iss ko liay k,0
may dekh rha ho k kuch order karo daraz sy,1
thumb grip lya hai achi hai lakin picture may kuch aur chez dekhai hai aur ya orb sy b nai h,0
item acha hai may sb sy kaho ga k liay lo,0
yeh aik achi numeral hai sirf aik masla yeh hai ke mujhe apne hukum se yeh mila hai ke design ke angothay ki du laathi hain lekin mujhe aik hi design ki charon cheeze mil gayeen,0
may iss ko istemaal kya aur ya bhot achi hai,0
phone acha hai lakin kaafi mehanga hai bahar ki market k mukabaly may,0
translucent case nai h daby may,2
ya kaafi acha phone hai asa mobile aur kahi nai h,0
pi s  kntrolr girift mein bunyadi tor par mere angothay aur  stick ke mabain ragar muhayya karta hai taakay paicheeda  injaam day saken jis mein mukhtalif harkato ki zaroorat hoti hai lehaza yakeeni tor par ghanton gimng ke baad mere haath paseenay ho jatay hain aur yeh meri satah taq khelna mushkil hojata hai aik bohat hi umdah sakht jo mere angothon ko apni jagah par rakhnay mein muawin hai,1
ya bhot acha tha aur mujhy iss ki grips ki quality achi lagi bhot,0
